Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
401.00,1.00,1.2141,0.52094,2.8683E-05,0.022402
402.00,1.00,1.211,0.52093,2.874E-05,0.022446
403.00,1.00,1.208,0.52093,2.8796E-05,0.02249
404.00,1.00,1.205,0.52093,2.8852E-05,0.022533
405.00,1.00,1.2021,0.52092,2.8908E-05,0.022577
406.00,1.00,1.1991,0.52092,2.8964E-05,0.022621
407.00,1.00,1.1961,0.52092,2.902E-05,0.022665
408.00,1.00,1.1932,0.52091,2.9076E-05,0.022708
409.00,1.00,1.1903,0.52091,2.9132E-05,0.022752
410.00,1.00,1.1874,0.52091,2.9188E-05,0.022795
411.00,1.00,1.1845,0.5209,2.9244E-05,0.022839
412.00,1.00,1.1816,0.5209,2.9299E-05,0.022882
413.00,1.00,1.1787,0.5209,2.9355E-05,0.022926
414.00,1.00,1.1759,0.52089,2.941E-05,0.022969
415.00,1.00,1.1731,0.52089,2.9466E-05,0.023012
416.00,1.00,1.1702,0.52089,2.9521E-05,0.023056
417.00,1.00,1.1674,0.52088,2.9577E-05,0.023099
418.00,1.00,1.1646,0.52088,2.9632E-05,0.023142
419.00,1.00,1.1618,0.52088,2.9688E-05,0.023185
420.00,1.00,1.1591,0.52087,2.9743E-05,0.023228
421.00,1.00,1.1563,0.52087,2.9798E-05,0.023272
422.00,1.00,1.1536,0.52087,2.9853E-05,0.023315
423.00,1.00,1.1508,0.52087,2.9908E-05,0.023358
424.00,1.00,1.1481,0.52086,2.9963E-05,0.023401
425.00,1.00,1.1454,0.52086,3.0018E-05,0.023443
426.00,1.00,1.1427,0.52086,3.0073E-05,0.023486
427.00,1.00,1.1401,0.52085,3.0128E-05,0.023529
428.00,1.00,1.1374,0.52085,3.0183E-05,0.023572
429.00,1.00,1.1347,0.52085,3.0238E-05,0.023615
430.00,1.00,1.1321,0.52085,3.0292E-05,0.023657
431.00,1.00,1.1295,0.52084,3.0347E-05,0.0237
432.00,1.00,1.1268,0.52084,3.0402E-05,0.023743
433.00,1.00,1.1242,0.52084,3.0456E-05,0.023785
434.00,1.00,1.1216,0.52083,3.0511E-05,0.023828
435.00,1.00,1.1191,0.52083,3.0565E-05,0.02387
436.00,1.00,1.1165,0.52083,3.062E-05,0.023913
437.00,1.00,1.1139,0.52083,3.0674E-05,0.023955
438.00,1.00,1.1114,0.52082,3.0728E-05,0.023997
439.00,1.00,1.1089,0.52082,3.0783E-05,0.02404
440.00,1.00,1.1063,0.52082,3.0837E-05,0.024082
441.00,1.00,1.1038,0.52082,3.0891E-05,0.024124
442.00,1.00,1.1013,0.52081,3.0945E-05,0.024166
443.00,1.00,1.0988,0.52081,3.0999E-05,0.024209
444.00,1.00,1.0964,0.52081,3.1053E-05,0.024251
445.00,1.00,1.0939,0.52081,3.1107E-05,0.024293
446.00,1.00,1.0914,0.5208,3.1161E-05,0.024335
447.00,1.00,1.089,0.5208,3.1215E-05,0.024377
448.00,1.00,1.0866,0.5208,3.1268E-05,0.024419
449.00,1.00,1.0841,0.5208,3.1322E-05,0.024461
450.00,1.00,1.0817,0.52079,3.1376E-05,0.024503
451.00,1.00,1.0793,0.52079,3.143E-05,0.024545
452.00,1.00,1.0769,0.52079,3.1483E-05,0.024586
453.00,1.00,1.0746,0.52079,3.1537E-05,0.024628
454.00,1.00,1.0722,0.52078,3.159E-05,0.02467
455.00,1.00,1.0698,0.52078,3.1644E-05,0.024712
456.00,1.00,1.0675,0.52078,3.1697E-05,0.024753
457.00,1.00,1.0652,0.52078,3.175E-05,0.024795
458.00,1.00,1.0628,0.52078,3.1804E-05,0.024836
459.00,1.00,1.0605,0.52077,3.1857E-05,0.024878
460.00,1.00,1.0582,0.52077,3.191E-05,0.024919
461.00,1.00,1.0559,0.52077,3.1963E-05,0.024961
462.00,1.00,1.0536,0.52077,3.2016E-05,0.025002
463.00,1.00,1.0513,0.52076,3.2069E-05,0.025044
464.00,1.00,1.0491,0.52076,3.2122E-05,0.025085
465.00,1.00,1.0468,0.52076,3.2175E-05,0.025126
466.00,1.00,1.0446,0.52076,3.2228E-05,0.025168
467.00,1.00,1.0423,0.52076,3.2281E-05,0.025209
468.00,1.00,1.0401,0.52075,3.2334E-05,0.02525
469.00,1.00,1.0379,0.52075,3.2387E-05,0.025291
470.00,1.00,1.0357,0.52075,3.2439E-05,0.025332
471.00,1.00,1.0335,0.52075,3.2492E-05,0.025373
472.00,1.00,1.0313,0.52075,3.2544E-05,0.025415
473.00,1.00,1.0291,0.52074,3.2597E-05,0.025456
474.00,1.00,1.0269,0.52074,3.265E-05,0.025497
475.00,1.00,1.0248,0.52074,3.2702E-05,0.025537
476.00,1.00,1.0226,0.52074,3.2754E-05,0.025578
477.00,1.00,1.0205,0.52074,3.2807E-05,0.025619
478.00,1.00,1.0183,0.52073,3.2859E-05,0.02566
479.00,1.00,1.0162,0.52073,3.2911E-05,0.025701
480.00,1.00,1.0141,0.52073,3.2964E-05,0.025742
481.00,1.00,1.012,0.52073,3.3016E-05,0.025782
482.00,1.00,1.0099,0.52073,3.3068E-05,0.025823
483.00,1.00,1.0078,0.52072,3.312E-05,0.025864
484.00,1.00,1.0057,0.52072,3.3172E-05,0.025904
485.00,1.00,1.0036,0.52072,3.3224E-05,0.025945
486.00,1.00,1.0015,0.52072,3.3276E-05,0.025985
487.00,1.00,0.99949,0.52072,3.3328E-05,0.026026
488.00,1.00,0.99744,0.52072,3.338E-05,0.026066
489.00,1.00,0.9954,0.52071,3.3432E-05,0.026107
490.00,1.00,0.99337,0.52071,3.3483E-05,0.026147
491.00,1.00,0.99134,0.52071,3.3535E-05,0.026188
492.00,1.00,0.98933,0.52071,3.3587E-05,0.026228
493.00,1.00,0.98732,0.52071,3.3638E-05,0.026268
494.00,1.00,0.98532,0.5207,3.369E-05,0.026308
495.00,1.00,0.98333,0.5207,3.3742E-05,0.026349
496.00,1.00,0.98134,0.5207,3.3793E-05,0.026389
497.00,1.00,0.97937,0.5207,3.3844E-05,0.026429
498.00,1.00,0.9774,0.5207,3.3896E-05,0.026469
499.00,1.00,0.97544,0.5207,3.3947E-05,0.026509
500.00,1.00,0.97349,0.52069,3.3999E-05,0.026549
501.00,1.00,0.97154,0.52069,3.405E-05,0.026589
502.00,1.00,0.96961,0.52069,3.4101E-05,0.026629
503.00,1.00,0.96768,0.52069,3.4152E-05,0.026669
504.00,1.00,0.96576,0.52069,3.4203E-05,0.026709
505.00,1.00,0.96384,0.52069,3.4255E-05,0.026749
506.00,1.00,0.96194,0.52068,3.4306E-05,0.026789
507.00,1.00,0.96004,0.52068,3.4357E-05,0.026828
508.00,1.00,0.95815,0.52068,3.4408E-05,0.026868
509.00,1.00,0.95627,0.52068,3.4458E-05,0.026908
510.00,1.00,0.95439,0.52068,3.4509E-05,0.026948
511.00,1.00,0.95252,0.52068,3.456E-05,0.026987
512.00,1.00,0.95066,0.52067,3.4611E-05,0.027027
513.00,1.00,0.94881,0.52067,3.4662E-05,0.027067
514.00,1.00,0.94696,0.52067,3.4712E-05,0.027106
515.00,1.00,0.94512,0.52067,3.4763E-05,0.027146
516.00,1.00,0.94329,0.52067,3.4814E-05,0.027185
517.00,1.00,0.94146,0.52067,3.4864E-05,0.027225
518.00,1.00,0.93964,0.52067,3.4915E-05,0.027264
519.00,1.00,0.93783,0.52066,3.4965E-05,0.027303
520.00,1.00,0.93603,0.52066,3.5016E-05,0.027343
521.00,1.00,0.93423,0.52066,3.5066E-05,0.027382
522.00,1.00,0.93244,0.52066,3.5117E-05,0.027421
523.00,1.00,0.93066,0.52066,3.5167E-05,0.027461
524.00,1.00,0.92888,0.52066,3.5217E-05,0.0275
525.00,1.00,0.92711,0.52066,3.5267E-05,0.027539
526.00,1.00,0.92535,0.52065,3.5318E-05,0.027578
527.00,1.00,0.92359,0.52065,3.5368E-05,0.027617
528.00,1.00,0.92184,0.52065,3.5418E-05,0.027657
529.00,1.00,0.9201,0.52065,3.5468E-05,0.027696
530.00,1.00,0.91836,0.52065,3.5518E-05,0.027735
531.00,1.00,0.91663,0.52065,3.5568E-05,0.027774
532.00,1.00,0.9149,0.52065,3.5618E-05,0.027813
533.00,1.00,0.91319,0.52064,3.5668E-05,0.027852
534.00,1.00,0.91148,0.52064,3.5718E-05,0.027891
535.00,1.00,0.90977,0.52064,3.5767E-05,0.027929
536.00,1.00,0.90807,0.52064,3.5817E-05,0.027968
537.00,1.00,0.90638,0.52064,3.5867E-05,0.028007
538.00,1.00,0.9047,0.52064,3.5917E-05,0.028046
539.00,1.00,0.90302,0.52064,3.5966E-05,0.028085
540.00,1.00,0.90134,0.52064,3.6016E-05,0.028123
541.00,1.00,0.89968,0.52063,3.6066E-05,0.028162
542.00,1.00,0.89802,0.52063,3.6115E-05,0.028201
543.00,1.00,0.89636,0.52063,3.6165E-05,0.028239
544.00,1.00,0.89471,0.52063,3.6214E-05,0.028278
545.00,1.00,0.89307,0.52063,3.6264E-05,0.028316
546.00,1.00,0.89144,0.52063,3.6313E-05,0.028355
547.00,1.00,0.88981,0.52063,3.6362E-05,0.028394
548.00,1.00,0.88818,0.52063,3.6412E-05,0.028432
549.00,1.00,0.88656,0.52062,3.6461E-05,0.02847
550.00,1.00,0.88495,0.52062,3.651E-05,0.028509
551.00,1.00,0.88334,0.52062,3.6559E-05,0.028547
552.00,1.00,0.88174,0.52062,3.6608E-05,0.028586
553.00,1.00,0.88015,0.52062,3.6657E-05,0.028624
554.00,1.00,0.87856,0.52062,3.6707E-05,0.028662
555.00,1.00,0.87697,0.52062,3.6756E-05,0.0287
556.00,1.00,0.8754,0.52062,3.6805E-05,0.028739
557.00,1.00,0.87382,0.52061,3.6854E-05,0.028777
558.00,1.00,0.87226,0.52061,3.6902E-05,0.028815
559.00,1.00,0.8707,0.52061,3.6951E-05,0.028853
560.00,1.00,0.86914,0.52061,3.7E-05,0.028891
561.00,1.00,0.86759,0.52061,3.7049E-05,0.028929
562.00,1.00,0.86605,0.52061,3.7098E-05,0.028967
563.00,1.00,0.86451,0.52061,3.7146E-05,0.029005
564.00,1.00,0.86298,0.52061,3.7195E-05,0.029043
565.00,1.00,0.86145,0.52061,3.7244E-05,0.029081
566.00,1.00,0.85993,0.5206,3.7292E-05,0.029119
567.00,1.00,0.85841,0.5206,3.7341E-05,0.029157
568.00,1.00,0.8569,0.5206,3.7389E-05,0.029195
569.00,1.00,0.85539,0.5206,3.7438E-05,0.029233
570.00,1.00,0.85389,0.5206,3.7486E-05,0.029271
571.00,1.00,0.85239,0.5206,3.7535E-05,0.029308
572.00,1.00,0.8509,0.5206,3.7583E-05,0.029346
573.00,1.00,0.84942,0.5206,3.7631E-05,0.029384
574.00,1.00,0.84794,0.5206,3.768E-05,0.029422
575.00,1.00,0.84646,0.52059,3.7728E-05,0.029459
576.00,1.00,0.84499,0.52059,3.7776E-05,0.029497
577.00,1.00,0.84353,0.52059,3.7824E-05,0.029534
578.00,1.00,0.84207,0.52059,3.7873E-05,0.029572
579.00,1.00,0.84061,0.52059,3.7921E-05,0.02961
580.00,1.00,0.83916,0.52059,3.7969E-05,0.029647
581.00,1.00,0.83772,0.52059,3.8017E-05,0.029685
582.00,1.00,0.83628,0.52059,3.8065E-05,0.029722
583.00,1.00,0.83484,0.52059,3.8113E-05,0.029759
584.00,1.00,0.83341,0.52059,3.8161E-05,0.029797
585.00,1.00,0.83199,0.52058,3.8209E-05,0.029834
586.00,1.00,0.83057,0.52058,3.8257E-05,0.029872
587.00,1.00,0.82915,0.52058,3.8304E-05,0.029909
588.00,1.00,0.82774,0.52058,3.8352E-05,0.029946
589.00,1.00,0.82634,0.52058,3.84E-05,0.029983
590.00,1.00,0.82494,0.52058,3.8448E-05,0.030021
591.00,1.00,0.82354,0.52058,3.8495E-05,0.030058
592.00,1.00,0.82215,0.52058,3.8543E-05,0.030095
593.00,1.00,0.82076,0.52058,3.8591E-05,0.030132
594.00,1.00,0.81938,0.52058,3.8638E-05,0.030169
595.00,1.00,0.818,0.52058,3.8686E-05,0.030206
596.00,1.00,0.81663,0.52057,3.8733E-05,0.030244
597.00,1.00,0.81526,0.52057,3.8781E-05,0.030281
598.00,1.00,0.8139,0.52057,3.8828E-05,0.030318
599.00,1.00,0.81254,0.52057,3.8875E-05,0.030355
600.00,1.00,0.81118,0.52057,3.8923E-05,0.030391
601.00,1.00,0.80983,0.52057,3.897E-05,0.030428
602.00,1.00,0.80849,0.52057,3.9017E-05,0.030465
603.00,1.00,0.80715,0.52057,3.9065E-05,0.030502
604.00,1.00,0.80581,0.52057,3.9112E-05,0.030539
605.00,1.00,0.80448,0.52057,3.9159E-05,0.030576
606.00,1.00,0.80315,0.52057,3.9206E-05,0.030613
607.00,1.00,0.80183,0.52056,3.9253E-05,0.030649
608.00,1.00,0.80051,0.52056,3.93E-05,0.030686
609.00,1.00,0.79919,0.52056,3.9347E-05,0.030723
610.00,1.00,0.79788,0.52056,3.9394E-05,0.03076
611.00,1.00,0.79658,0.52056,3.9441E-05,0.030796
612.00,1.00,0.79527,0.52056,3.9488E-05,0.030833
613.00,1.00,0.79398,0.52056,3.9535E-05,0.030869
614.00,1.00,0.79268,0.52056,3.9582E-05,0.030906
615.00,1.00,0.79139,0.52056,3.9629E-05,0.030943
616.00,1.00,0.79011,0.52056,3.9676E-05,0.030979
617.00,1.00,0.78883,0.52056,3.9722E-05,0.031016
618.00,1.00,0.78755,0.52055,3.9769E-05,0.031052
619.00,1.00,0.78628,0.52055,3.9816E-05,0.031088
620.00,1.00,0.78501,0.52055,3.9863E-05,0.031125
621.00,1.00,0.78375,0.52055,3.9909E-05,0.031161
622.00,1.00,0.78249,0.52055,3.9956E-05,0.031198
623.00,1.00,0.78123,0.52055,4.0002E-05,0.031234
624.00,1.00,0.77998,0.52055,4.0049E-05,0.03127
625.00,1.00,0.77873,0.52055,4.0095E-05,0.031307
626.00,1.00,0.77748,0.52055,4.0142E-05,0.031343
627.00,1.00,0.77624,0.52055,4.0188E-05,0.031379
628.00,1.00,0.77501,0.52055,4.0235E-05,0.031415
629.00,1.00,0.77378,0.52055,4.0281E-05,0.031451
630.00,1.00,0.77255,0.52055,4.0327E-05,0.031488
631.00,1.00,0.77132,0.52054,4.0374E-05,0.031524
632.00,1.00,0.7701,0.52054,4.042E-05,0.03156
633.00,1.00,0.76889,0.52054,4.0466E-05,0.031596
634.00,1.00,0.76767,0.52054,4.0512E-05,0.031632
635.00,1.00,0.76646,0.52054,4.0559E-05,0.031668
636.00,1.00,0.76526,0.52054,4.0605E-05,0.031704
637.00,1.00,0.76406,0.52054,4.0651E-05,0.03174
638.00,1.00,0.76286,0.52054,4.0697E-05,0.031776
639.00,1.00,0.76166,0.52054,4.0743E-05,0.031812
640.00,1.00,0.76047,0.52054,4.0789E-05,0.031848
641.00,1.00,0.75929,0.52054,4.0835E-05,0.031884
642.00,1.00,0.75811,0.52054,4.0881E-05,0.031919
643.00,1.00,0.75693,0.52054,4.0927E-05,0.031955
644.00,1.00,0.75575,0.52053,4.0973E-05,0.031991
645.00,1.00,0.75458,0.52053,4.1018E-05,0.032027
646.00,1.00,0.75341,0.52053,4.1064E-05,0.032063
647.00,1.00,0.75225,0.52053,4.111E-05,0.032098
648.00,1.00,0.75108,0.52053,4.1156E-05,0.032134
649.00,1.00,0.74993,0.52053,4.1202E-05,0.03217
650.00,1.00,0.74877,0.52053,4.1247E-05,0.032205
651.00,1.00,0.74762,0.52053,4.1293E-05,0.032241
652.00,1.00,0.74648,0.52053,4.1339E-05,0.032277
653.00,1.00,0.74533,0.52053,4.1384E-05,0.032312
654.00,1.00,0.74419,0.52053,4.143E-05,0.032348
655.00,1.00,0.74306,0.52053,4.1475E-05,0.032383
656.00,1.00,0.74192,0.52053,4.1521E-05,0.032419
657.00,1.00,0.74079,0.52053,4.1566E-05,0.032454
658.00,1.00,0.73967,0.52053,4.1612E-05,0.03249
659.00,1.00,0.73855,0.52052,4.1657E-05,0.032525
660.00,1.00,0.73743,0.52052,4.1702E-05,0.03256
661.00,1.00,0.73631,0.52052,4.1748E-05,0.032596
662.00,1.00,0.7352,0.52052,4.1793E-05,0.032631
663.00,1.00,0.73409,0.52052,4.1838E-05,0.032667
664.00,1.00,0.73298,0.52052,4.1884E-05,0.032702
665.00,1.00,0.73188,0.52052,4.1929E-05,0.032737
666.00,1.00,0.73078,0.52052,4.1974E-05,0.032772
667.00,1.00,0.72969,0.52052,4.2019E-05,0.032808
668.00,1.00,0.72859,0.52052,4.2064E-05,0.032843
669.00,1.00,0.72751,0.52052,4.2109E-05,0.032878
670.00,1.00,0.72642,0.52052,4.2154E-05,0.032913
671.00,1.00,0.72534,0.52052,4.2199E-05,0.032948
672.00,1.00,0.72426,0.52052,4.2244E-05,0.032983
673.00,1.00,0.72318,0.52052,4.2289E-05,0.033019
674.00,1.00,0.72211,0.52051,4.2334E-05,0.033054
675.00,1.00,0.72104,0.52051,4.2379E-05,0.033089
676.00,1.00,0.71997,0.52051,4.2424E-05,0.033124
677.00,1.00,0.71891,0.52051,4.2469E-05,0.033159
678.00,1.00,0.71785,0.52051,4.2514E-05,0.033194
679.00,1.00,0.71679,0.52051,4.2559E-05,0.033229
680.00,1.00,0.71574,0.52051,4.2603E-05,0.033264
681.00,1.00,0.71468,0.52051,4.2648E-05,0.033298
682.00,1.00,0.71364,0.52051,4.2693E-05,0.033333
683.00,1.00,0.71259,0.52051,4.2737E-05,0.033368
684.00,1.00,0.71155,0.52051,4.2782E-05,0.033403
685.00,1.00,0.71051,0.52051,4.2827E-05,0.033438
686.00,1.00,0.70947,0.52051,4.2871E-05,0.033473
687.00,1.00,0.70844,0.52051,4.2916E-05,0.033507
688.00,1.00,0.70741,0.52051,4.296E-05,0.033542
689.00,1.00,0.70639,0.52051,4.3005E-05,0.033577
690.00,1.00,0.70536,0.52051,4.3049E-05,0.033612
691.00,1.00,0.70434,0.5205,4.3094E-05,0.033646
692.00,1.00,0.70332,0.5205,4.3138E-05,0.033681
693.00,1.00,0.70231,0.5205,4.3183E-05,0.033716
694.00,1.00,0.7013,0.5205,4.3227E-05,0.03375
695.00,1.00,0.70029,0.5205,4.3271E-05,0.033785
696.00,1.00,0.69928,0.5205,4.3316E-05,0.033819
697.00,1.00,0.69828,0.5205,4.336E-05,0.033854
698.00,1.00,0.69728,0.5205,4.3404E-05,0.033888
699.00,1.00,0.69628,0.5205,4.3448E-05,0.033923
700.00,1.00,0.69528,0.5205,4.3492E-05,0.033957